gisaid_epi_isl,strain,date,host
EPI_ISL_2185815,USA/WV-CDC-ASC210013080/2021,2021-03-20,Human
EPI_ISL_3255459,USA/AZ-ASU9305/2021,2021-01-26,Human
EPI_ISL_895838,CzechRepublic/FNHK-058/2020,2020-03-25,Human
EPI_ISL_1089114,USA/GA-CDC-STM-000010232/2021,2021-02-06,Human
EPI_ISL_3015396,India/CT-ILSGS03908/2021,2021-04-12,Human
EPI_ISL_511691,Portugal/PT1144/2020,2020-04-08,Human
EPI_ISL_462954,USA/WY-WYPHL-00062/2020,2020-03-27,Human
EPI_ISL_3637435,USA/CA-CDPH-2000007444/2020,2020-12-10,Human
EPI_ISL_751420,Italy/VEN-UniVR-120/2020,2020-03-29,Human
EPI_ISL_1030582,USA/PA-CDC-LC0009700/2021,2021-01-25,Human
EPI_ISL_904337,mink/Netherlands/NB-EMC-52-19/2020,2020,Mink
EPI_ISL_2715758,USA/NY-PRL-2021_0623_51L02/2021,2021-01-27,Human
EPI_ISL_1112886,Canada/ON-PHL-21-01584/2021,2021-01,Human
EPI_ISL_2596516,France/PAC-IHU-0121_Illu2/2020,2020-03-24,Human
EPI_ISL_3257148,Turkey/HSGM-GF2258/2021,2021-07-15,Human
EPI_ISL_1228280,USA/NY-Wadsworth-21019021-01/2020,2020-12-29,Human
EPI_ISL_495349,USA/FL-BPHL-0443/2020,2020-03-21,Human
EPI_ISL_448598,England/OXON-AD83A/2020,2020,Human
EPI_ISL_523096,mink/Netherlands/NB-EMC-4-2/2020,2020-05-06,Mink
EPI_ISL_2984796,Turkey/HSGM-B17259/2021,2021-06-16,Human
EPI_ISL_5781752,dog/USA/NJ-21-027164-001/2021,2021-09-05,Canis lupus familiaris
EPI_ISL_2596859,France/PAC-IHU-0507_Illu3/2020,2020-04-06,Human
EPI_ISL_578262,Ireland/D-NVRL-73IRL25053/2020,2020-09-05,Human
EPI_ISL_2293822,Canada/Qc-HGA-U12919392D/2021,2021-01-29,Human
EPI_ISL_888945,USA/WY-WPHL-21005856/2021,2021-01-15,Human
EPI_ISL_979199,USA/CA-CZB-19250/2020,2020-12-18,Human
EPI_ISL_685789,Japan/PG-2184/2020,2020-04-04,Human
EPI_ISL_439193,Scotland/EDB2372/2020,2020-04-22,Human
EPI_ISL_7727651,BosniaandHerzegovina/VFS-UNSA-LMGFI637/2021,2021-11-16,Human
EPI_ISL_925354,mink/USA/MI-CDC-3886492-001/2020,2020-10-13,Mink
EPI_ISL_1291740,USA/AZ-ASU2500/2021,2021-02-11,Human
EPI_ISL_1585944,Iceland/977/2020,2020-04-06,Human
EPI_ISL_542827,USA/TX-HMH-1769/2020,2020-05-07,Human
EPI_ISL_1032794,USA/IL-IDPH-ROC-S-0001358/2020,2020-07-15,Human
EPI_ISL_2825569,USA/CA-CDPH-2000041121/2021,2021-03-03,Human
EPI_ISL_472257,England/NORT-283E63/2020,2020-04-05,Human
EPI_ISL_2791121,USA/NY-UW-3601038/2020,2020-05-12,Human
EPI_ISL_833347,USA/SC-DHEC-0034/2021,2021-01-03,Human
EPI_ISL_1636957,England/LOND-128D3C1/2020,2020-12-21,Human
EPI_ISL_1228481,USA/NY-Wadsworth-21019410-01/2021,2021-01-31,Human
EPI_ISL_2877310,France/CVL-IPP3102/2020,2020-03-19,Human
EPI_ISL_574327,USA/LA-EVTL193/2020,2020-07-27,Human
EPI_ISL_1093987,USA/CA-UCSF-JD237/2021,2021-01-25,Human
EPI_ISL_1002111,Switzerland/ZH-ETHZ-460462/2021,2021-01-18,Human
EPI_ISL_842080,England/PORT-2EB7F5/2020,2020,Human
EPI_ISL_2803214,lion/SriLanka/CDR236/2021,2021-06-16,Panthera leo
EPI_ISL_848770,USA/FL-BPHL-2597/2020,2020-11-19,Human
EPI_ISL_5442920,USA/CA-CDPH-2000015540/2020,2020-12-15,Human
